TIME;TIME(s);LAT;LON;H;RHO;THETA;MODE 3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;BAR;IVV;TN;HEADING;STAT_230
00:01:03:180;63;41,55560100;1,50068876;11581,9647119073;31,796875;299,586182;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;102,65625;269;32;-64;1340;109,4238;No alert, no SPI, aircraft airbone;
00:01:07:180;67;41,55269560;1,51321489;11581,9840484746;31,230469;299,816895;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;101,777344;269;64;-96;1340;109,0833;No alert, no SPI, aircraft airbone;
00:01:11:172;71;41,54987157;1,52572509;11582,0029843273;30,667969;300,064087;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,898438;269;192;-96;1340;108,8525;No alert, no SPI, aircraft airbone;
00:01:15:172;75;41,54695849;1,53809130;11582,0212169904;30,109375;300,305786;5307;380;7380C0;ELY028;1013;-5,449;107,227;526;-0,188;480;100,019531;269;64;-96;1340;108,7042;No alert, no SPI, aircraft airbone;
00:01:19:172;79;41,54408586;1,55051493;11582,0391511582;29,550781;300,563965;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;269;128;-64;1340;108,5559;No alert, no SPI, aircraft airbone;
00:01:23:180;83;41,54128713;1,56289840;11574,4366500815;28,996094;300,838623;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,140625;268;0;-64;1340;108,3746;No alert, no SPI, aircraft airbone;
00:01:27:180;87;41,53842942;1,57528957;11574,453713702;28,441406;301,118774;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;268;-32;0;1340;108,2318;No alert, no SPI, aircraft airbone;
00:01:31:188;91;41,53573525;1,58763677;11574,4703896604;27,894531;301,426392;5307;379,75;7380C0;ELY028;1013;0,352;106,523;524;0;476;99,316406;267;64;0;1340;108,0286;No alert, no SPI, aircraft airbone;
00:01:35:188;95;41,53297984;1,60007474;11574,4867482428;27,34375;301,744995;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;-96;0;1340;107,8473;No alert, no SPI, aircraft airbone;
00:01:39:195;99;41,53033308;1,61243149;11574,5026343605;26,800781;302,085571;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;96;0;1340;107,6715;No alert, no SPI, aircraft airbone;
00:01:43:203;103;41,52757612;1,62484365;11574,5181224747;26,253906;302,431641;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;64;0;1340;107,5397;No alert, no SPI, aircraft airbone;
00:01:47:203;107;41,52480131;1,63720636;11582,1531195166;25,710938;302,788696;5307;380;7380C0;ELY028;1013;-0,176;106,699;524;0;478;99,492188;268;0;0;1340;107,4463;No alert, no SPI, aircraft airbone;
00:01:51:211;111;41,52209787;1,64951524;11574,5476715667;25,171875;303,167725;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;0;1340;107,3419;No alert, no SPI, aircraft airbone;
00:01:55:219;115;41,51935954;1,66187174;11574,5618547229;24,632812;303,563232;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;32;1340;107,265;No alert, no SPI, aircraft airbone;
00:01:59:219;119;41,51665584;1,67420530;11574,5756143797;24,097656;303,980713;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;96;0;1340;107,1826;No alert, no SPI, aircraft airbone;
00:02:03:227;123;41,51387941;1,68653177;11574,5889173364;23,5625;304,40918;5307;379,75;7380C0;ELY028;1013;0;106,523;522;0;478;99,492188;268;-64;0;1340;107,1606;No alert, no SPI, aircraft airbone;
00:02:07:227;127;41,51115059;1,69885432;11574,6018285118;23,03125;304,865112;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;32;32;1340;106,5619;No alert, no SPI, aircraft airbone;
00:02:11:234;131;41,50847420;1,71121571;11582,2343969345;22,503906;305,354004;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;0;32;1340;106,5399;No alert, no SPI, aircraft airbone;
00:02:15:242;135;41,50580354;1,72351419;11582,246486214;21,980469;305,864868;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;0;0;1340;106,5894;No alert, no SPI, aircraft airbone;
00:02:19:250;139;41,50302538;1,73578816;11582,258088978;21,457031;306,386719;5307;380;7380C0;ELY028;1013;0,176;106,523;522;0;478;99,667969;268;32;0;1340;106,6278;No alert, no SPI, aircraft airbone;
00:02:23:258;143;41,50027729;1,74806285;11582,2692992156;20,9375;306,941528;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;268;0;-32;1340;106,6498;No alert, no SPI, aircraft airbone;
00:02:27:281;147;41,49756971;1,76035639;11582,2801385596;20,421875;307,53479;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;268;-128;-32;1340;106,7267;No alert, no SPI, aircraft airbone;
00:02:31:273;151;41,49477222;1,77265855;11582,290535531;19,90625;308,150024;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;-96;0;1340;106,7487;No alert, no SPI, aircraft airbone;
